camNum	frameNum	sysClock	buffer
0	498	16542	1
2	497	16565	1
0	499	16575	1
2	498	16597	1
0	500	16609	1
2	499	16630	1
0	501	16643	1
2	500	16662	1
0	502	16675	1
2	501	16694	1
0	503	16709	1
2	502	16726	1
0	504	16744	1
2	503	16758	1
0	505	16777	1
2	504	16790	1
0	506	16810	1
2	505	16838	1
0	507	16843	1
2	506	16870	1
0	508	16876	1
2	507	16901	1
0	509	16909	1
2	508	16933	1
0	510	16942	1
2	509	16965	1
0	511	16975	1
2	510	16997	1
0	512	17009	1
2	511	17029	1
0	513	17042	1
2	512	17061	1
0	514	17075	1
2	513	17093	1
0	515	17111	1
2	514	17126	1
0	516	17143	1
2	515	17157	1
0	517	17176	1
2	516	17205	1
0	518	17209	1
2	517	17237	1
0	519	17242	1
2	518	17269	1
0	520	17276	1
2	519	17301	1
0	521	17309	1
2	520	17333	1
0	522	17342	1
2	521	17365	1
0	523	17375	1
2	522	17397	1
0	524	17410	1
2	523	17430	1
0	525	17443	1
2	524	17462	1
0	526	17477	1
2	525	17495	1
0	527	17512	1
2	526	17526	1
0	528	17546	1
2	527	17559	1
0	529	17579	1
2	528	17606	1
0	530	17611	1
2	529	17637	1
0	531	17643	1
2	530	17669	1
0	532	17676	1
2	531	17701	1
0	533	17709	1
2	532	17734	1
0	534	17744	1
2	533	17766	1
0	535	17779	1
2	534	17798	1
0	536	17811	1
2	535	17829	1
0	537	17842	1
2	536	17862	1
0	538	17876	1
2	537	17894	1
0	539	17909	1
2	538	17925	1
0	540	17943	1
2	539	17975	1
0	541	17980	1
2	540	18007	1
0	542	18012	1
2	541	18039	1
0	543	18046	1
2	542	18069	1
0	544	18076	1
2	543	18101	1
0	545	18110	1
2	544	18133	1
0	546	18143	1
2	545	18165	1
0	547	18176	1
2	546	18197	1
0	548	18210	1
2	547	18229	1
0	549	18243	1
2	548	18262	1
0	550	18279	1
2	549	18294	1
0	551	18313	1
2	550	18342	1
0	552	18345	1
2	551	18373	1
0	553	18376	1
2	552	18405	1
0	554	18410	1
2	553	18438	1
0	555	18444	1
2	554	18469	1
0	556	18476	1
2	555	18502	1
0	557	18510	1
2	556	18533	1
0	558	18544	1
2	557	18566	1
0	559	18577	1
2	558	18597	1
0	560	18610	1
2	559	18629	1
0	561	18643	1
2	560	18661	1
0	562	18678	1
2	561	18694	1
0	563	18710	1
2	562	18741	1
0	564	18743	1
2	563	18774	1
0	565	18779	1
2	564	18805	1
0	566	18810	1
2	565	18837	1
0	567	18843	1
2	566	18869	1
0	568	18877	1
2	567	18901	1
0	569	18910	1
2	568	18934	1
0	570	18944	1
2	569	18966	1
0	571	18977	1
2	570	18997	1
0	572	19010	1
2	571	19030	1
0	573	19045	1
2	572	19062	1
0	574	19079	1
2	573	19110	1
0	575	19111	1
2	574	19143	1
0	576	19148	1
2	575	19173	1
0	577	19177	1
2	576	19205	1
0	578	19210	1
2	577	19237	1
0	579	19243	1
2	578	19269	1
0	580	19277	1
2	579	19302	1
0	581	19310	1
2	580	19333	1
0	582	19344	1
2	581	19365	1
0	583	19379	1
2	582	19397	1
0	584	19410	1
2	583	19430	1
0	585	19444	1
2	584	19461	1
0	586	19477	1
2	585	19510	1
0	587	19511	1
2	586	19541	1
0	588	19544	1
2	587	19573	1
0	589	19577	1
2	588	19605	1
0	590	19610	1
2	589	19637	1
0	591	19644	1
2	590	19669	1
0	592	19678	1
2	591	19701	1
0	593	19711	1
2	592	19733	1
0	594	19745	1
2	593	19766	1
0	595	19777	1
2	594	19797	1
0	596	19810	1
0	597	19844	1
2	595	19829	1
2	596	19878	1
0	598	19878	1
2	597	19910	1
0	599	19911	1
2	598	19941	1
0	600	19944	1
2	599	19973	1
0	601	19977	1
2	600	20005	1
0	602	20011	1
2	601	20038	1
0	603	20045	1
2	602	20070	1
0	604	20078	1
2	603	20101	1
0	605	20111	1
2	604	20133	1
0	606	20144	1
2	605	20166	1
0	607	20179	1
2	606	20198	1
0	608	20214	1
2	607	20230	1
0	609	20246	1
2	608	20278	1
0	610	20278	1
2	609	20310	1
0	611	20312	1
2	610	20341	1
0	612	20344	1
2	611	20373	1
0	613	20378	1
2	612	20405	1
0	614	20411	1
2	613	20437	1
0	615	20445	1
2	614	20469	1
0	616	20478	1
2	615	20501	1
0	617	20511	1
2	616	20533	1
0	618	20544	1
2	617	20565	1
0	619	20578	1
0	620	20611	1
2	618	20597	1
2	619	20645	1
0	621	20644	1
2	620	20678	1
0	622	20678	1
2	621	20711	1
0	623	20715	1
2	622	20744	1
0	624	20747	1
2	623	20774	1
0	625	20781	1
2	624	20806	1
0	626	20813	1
2	625	20838	1
0	627	20847	1
2	626	20870	1
0	628	20879	1
2	627	20902	1
0	629	20914	1
2	628	20934	1
0	630	20946	1
0	631	20980	1
2	629	20967	1
0	632	21012	1
2	630	21014	1
2	631	21046	1
0	633	21046	1
2	632	21078	1
0	634	21079	1
2	633	21110	1
0	635	21111	1
2	634	21141	1
0	636	21145	1
2	635	21173	1
0	637	21178	1
2	636	21205	1
0	638	21211	1
2	637	21238	1
0	639	21245	1
2	638	21269	1
0	640	21278	1
2	639	21303	1
0	641	21315	1
2	640	21334	1
0	642	21347	1
0	643	21381	1
2	641	21366	1
0	644	21412	1
2	642	21414	1
2	643	21445	1
0	645	21445	1
2	644	21478	1
0	646	21478	1
2	645	21510	1
0	647	21512	1
2	646	21542	1
0	648	21545	1
2	647	21573	1
0	649	21578	1
2	648	21605	1
0	650	21611	1
2	649	21637	1
0	651	21645	1
2	650	21669	1
0	652	21678	1
2	651	21701	1
0	653	21711	1
0	654	21745	1
2	652	21733	1
0	655	21778	1
2	653	21782	1
0	656	21811	1
2	654	21813	1
2	655	21846	1
0	657	21845	1
2	656	21877	1
0	658	21878	1
2	657	21910	1
0	659	21912	1
2	658	21942	1
0	660	21946	1
2	659	21974	1
0	661	21980	1
2	660	22006	1
0	662	22013	1
2	661	22037	1
0	663	22045	1
2	662	22069	1
0	664	22078	1
2	663	22103	1
0	665	22115	1
0	666	22148	1
2	664	22134	1
0	667	22180	1
2	665	22182	1
2	666	22213	1
0	668	22212	1
2	667	22246	1
0	669	22246	1
2	668	22277	1
0	670	22279	1
2	669	22309	1
0	671	22312	1
2	670	22341	1
0	672	22345	1
2	671	22374	1
0	673	22379	1
2	672	22405	1
0	674	22412	1
2	673	22437	1
0	675	22445	1
2	674	22469	1
0	676	22478	1
0	677	22513	1
2	675	22502	1
0	678	22546	1
2	676	22550	1
0	679	22580	1
2	677	22582	1
2	678	22614	1
0	680	22613	1
2	679	22646	1
0	681	22646	1
2	680	22677	1
0	682	22679	1
2	681	22710	1
0	683	22713	1
2	682	22742	1
0	684	22746	1
2	683	22773	1
0	685	22779	1
2	684	22806	1
0	686	22812	1
2	685	22837	1
0	687	22846	1
2	686	22869	1
0	688	22879	1
0	689	22912	1
2	687	22901	1
0	690	22945	1
2	688	22949	1
0	691	22979	1
2	689	22981	1
2	690	23013	1
0	692	23012	1
2	691	23045	1
0	693	23046	1
2	692	23077	1
0	694	23079	1
2	693	23110	1
0	695	23112	1
2	694	23141	1
0	696	23145	1
2	695	23174	1
0	697	23179	1
2	696	23206	1
0	698	23212	1
2	697	23237	1
0	699	23246	1
0	700	23279	1
2	698	23269	1
0	701	23312	1
2	699	23317	1
0	702	23346	1
2	700	23349	1
0	703	23379	1
2	701	23381	1
2	702	23413	1
0	704	23413	1
2	703	23445	1
0	705	23446	1
2	704	23477	1
0	706	23479	1
2	705	23510	1
0	707	23513	1
2	706	23541	1
0	708	23546	1
2	707	23573	1
0	709	23579	1
2	708	23605	1
0	710	23613	1
0	711	23646	1
2	709	23637	1
0	712	23679	1
2	710	23685	1
0	713	23713	1
2	711	23717	1
0	714	23746	1
2	712	23749	1
0	715	23780	1
2	713	23782	1
2	714	23814	1
0	716	23814	1
2	715	23846	1
0	717	23848	1
2	716	23878	1
0	718	23881	1
2	717	23909	1
0	719	23913	1
2	718	23941	1
0	720	23946	1
2	719	23973	1
0	721	23979	1
2	720	24005	1
0	722	24013	1
0	723	24046	1
2	721	24037	1
0	724	24079	1
2	722	24085	1
0	725	24113	1
2	723	24117	1
0	726	24146	1
2	724	24149	1
0	727	24179	1
2	725	24181	1
2	726	24213	1
0	728	24213	1
2	727	24245	1
0	729	24246	1
2	728	24277	1
0	730	24280	1
2	729	24309	1
0	731	24313	1
2	730	24342	1
0	732	24346	1
2	731	24373	1
0	733	24382	1
0	734	24413	1
2	732	24405	1
0	735	24446	1
2	733	24453	1
0	736	24481	1
2	734	24486	1
0	737	24515	1
2	735	24518	1
0	738	24548	1
2	736	24550	1
0	739	24580	1
2	737	24582	1
2	738	24613	1
0	740	24613	1
2	739	24645	1
0	741	24647	1
2	740	24677	1
0	742	24680	1
2	741	24709	1
0	743	24713	1
2	742	24742	1
0	744	24747	1
2	743	24773	1
0	745	24780	1
0	746	24813	1
2	744	24805	1
0	747	24846	1
2	745	24853	1
0	748	24880	1
2	746	24885	1
0	749	24914	1
2	747	24917	1
0	750	24947	1
2	748	24949	1
0	751	24980	1
2	749	24981	1
2	750	25013	1
0	752	25013	1
2	751	25046	1
0	753	25047	1
2	752	25077	1
0	754	25080	1
2	753	25109	1
0	755	25113	1
2	754	25142	1
0	756	25147	1
0	757	25180	1
2	755	25173	1
0	758	25213	1
2	756	25221	1
0	759	25247	1
2	757	25253	1
0	760	25280	1
2	758	25285	1
0	761	25313	1
2	759	25317	1
0	762	25347	1
2	760	25350	1
2	761	25381	1
0	763	25380	1
2	762	25414	1
0	764	25414	1
2	763	25445	1
0	765	25447	1
2	764	25477	1
0	766	25481	1
2	765	25509	1
0	767	25514	1
0	768	25547	1
2	766	25542	1
0	769	25580	1
2	767	25589	1
0	770	25614	1
2	768	25621	1
0	771	25647	1
2	769	25653	1
0	772	25680	1
2	770	25686	1
0	773	25714	1
2	771	25717	1
0	774	25748	1
2	772	25750	1
2	773	25781	1
0	775	25781	1
2	774	25814	1
0	776	25814	1
2	775	25845	1
