framenumber,cam0_frame,cam0_sysclock,cam2_frame,cam2_sysclock
463,463.0,15374.0,463,15429
464,464.0,15408.0,464,15462
465,465.0,15441.0,465,15493
466,466.0,15475.0,466,15526
467,467.0,15508.0,467,15558
468,468.0,15543.0,468,15590
469,469.0,15576.0,469,15621
470,470.0,15608.0,470,15669
471,471.0,15641.0,471,15703
472,472.0,15675.0,472,15735
473,473.0,15711.0,473,15767
474,474.0,15746.0,474,15799
475,475.0,15778.0,475,15829
476,476.0,15810.0,476,15862
477,477.0,15841.0,477,15893
478,478.0,15875.0,478,15926
479,479.0,15908.0,479,15958
480,480.0,15942.0,480,15991
481,481.0,15975.0,481,16023
482,482.0,16012.0,482,16070
483,483.0,16045.0,483,16102
484,484.0,16075.0,484,16134
485,485.0,16109.0,485,16166
486,486.0,16142.0,486,16198
487,487.0,16176.0,487,16229
488,488.0,16209.0,488,16262
489,489.0,16242.0,489,16293
490,490.0,16275.0,490,16325
491,491.0,16308.0,491,16357
492,492.0,16342.0,492,16389
493,493.0,16375.0,493,16437
494,494.0,16408.0,494,16470
495,495.0,16442.0,495,16501
496,496.0,16476.0,496,16533
497,497.0,16509.0,497,16565
498,498.0,16542.0,498,16597
499,499.0,16575.0,499,16630
500,500.0,16609.0,500,16662
501,501.0,16643.0,501,16694
502,502.0,16675.0,502,16726
503,503.0,16709.0,503,16758
504,504.0,16744.0,504,16790
505,505.0,16777.0,505,16838
506,506.0,16810.0,506,16870
507,507.0,16843.0,507,16901
508,508.0,16876.0,508,16933
509,509.0,16909.0,509,16965
510,510.0,16942.0,510,16997
511,511.0,16975.0,511,17029
512,512.0,17009.0,512,17061
513,513.0,17042.0,513,17093
514,514.0,17075.0,514,17126
515,515.0,17111.0,515,17157
516,516.0,17143.0,516,17205
517,517.0,17176.0,517,17237
518,518.0,17209.0,518,17269
519,519.0,17242.0,519,17301
520,520.0,17276.0,520,17333
521,521.0,17309.0,521,17365
522,522.0,17342.0,522,17397
523,523.0,17375.0,523,17430
524,524.0,17410.0,524,17462
525,525.0,17443.0,525,17495
526,526.0,17477.0,526,17526
527,527.0,17512.0,527,17559
528,528.0,17546.0,528,17606
529,529.0,17579.0,529,17637
530,530.0,17611.0,530,17669
531,531.0,17643.0,531,17701
532,532.0,17676.0,532,17734
533,533.0,17709.0,533,17766
534,534.0,17744.0,534,17798
535,535.0,17779.0,535,17829
536,536.0,17811.0,536,17862
537,537.0,17842.0,537,17894
538,538.0,17876.0,538,17925
539,539.0,17909.0,539,17975
540,540.0,17943.0,540,18007
541,541.0,17980.0,541,18039
542,542.0,18012.0,542,18069
543,543.0,18046.0,543,18101
544,544.0,18076.0,544,18133
545,545.0,18110.0,545,18165
546,546.0,18143.0,546,18197
547,547.0,18176.0,547,18229
548,548.0,18210.0,548,18262
549,549.0,18243.0,549,18294
550,550.0,18279.0,550,18342
551,551.0,18313.0,551,18373
552,552.0,18345.0,552,18405
553,553.0,18376.0,553,18438
554,554.0,18410.0,554,18469
555,555.0,18444.0,555,18502
556,556.0,18476.0,556,18533
557,557.0,18510.0,557,18566
558,558.0,18544.0,558,18597
559,559.0,18577.0,559,18629
560,560.0,18610.0,560,18661
561,561.0,18643.0,561,18694
562,562.0,18678.0,562,18741
563,563.0,18710.0,563,18774
564,564.0,18743.0,564,18805
565,565.0,18779.0,565,18837
566,566.0,18810.0,566,18869
567,567.0,18843.0,567,18901
568,568.0,18877.0,568,18934
569,569.0,18910.0,569,18966
570,570.0,18944.0,570,18997
571,571.0,18977.0,571,19030
572,572.0,19010.0,572,19062
573,573.0,19045.0,573,19110
574,574.0,19079.0,574,19143
575,575.0,19111.0,575,19173
576,576.0,19148.0,576,19205
577,577.0,19177.0,577,19237
578,578.0,19210.0,578,19269
579,579.0,19243.0,579,19302
580,580.0,19277.0,580,19333
581,581.0,19310.0,581,19365
582,582.0,19344.0,582,19397
583,583.0,19379.0,583,19430
584,584.0,19410.0,584,19461
585,585.0,19444.0,585,19510
586,586.0,19477.0,586,19541
587,587.0,19511.0,587,19573
588,588.0,19544.0,588,19605
589,589.0,19577.0,589,19637
590,590.0,19610.0,590,19669
591,591.0,19644.0,591,19701
592,592.0,19678.0,592,19733
593,593.0,19711.0,593,19766
594,594.0,19745.0,594,19797
595,595.0,19777.0,595,19829
596,596.0,19810.0,596,19878
597,597.0,19844.0,597,19910
598,598.0,19878.0,598,19941
599,599.0,19911.0,599,19973
600,600.0,19944.0,600,20005
601,601.0,19977.0,601,20038
602,602.0,20011.0,602,20070
603,603.0,20045.0,603,20101
604,604.0,20078.0,604,20133
605,605.0,20111.0,605,20166
606,606.0,20144.0,606,20198
607,607.0,20179.0,607,20230
608,608.0,20214.0,608,20278
609,609.0,20246.0,609,20310
610,610.0,20278.0,610,20341
611,611.0,20312.0,611,20373
612,612.0,20344.0,612,20405
613,613.0,20378.0,613,20437
614,614.0,20411.0,614,20469
615,615.0,20445.0,615,20501
616,616.0,20478.0,616,20533
617,617.0,20511.0,617,20565
618,618.0,20544.0,618,20597
619,619.0,20578.0,619,20645
620,620.0,20611.0,620,20678
621,621.0,20644.0,621,20711
622,622.0,20678.0,622,20744
623,623.0,20715.0,623,20774
624,624.0,20747.0,624,20806
625,625.0,20781.0,625,20838
626,626.0,20813.0,626,20870
627,627.0,20847.0,627,20902
628,628.0,20879.0,628,20934
629,629.0,20914.0,629,20967
630,630.0,20946.0,630,21014
631,631.0,20980.0,631,21046
632,632.0,21012.0,632,21078
633,633.0,21046.0,633,21110
634,634.0,21079.0,634,21141
635,635.0,21111.0,635,21173
636,636.0,21145.0,636,21205
637,637.0,21178.0,637,21238
638,638.0,21211.0,638,21269
639,639.0,21245.0,639,21303
640,640.0,21278.0,640,21334
641,641.0,21315.0,641,21366
642,642.0,21347.0,642,21414
643,643.0,21381.0,643,21445
644,644.0,21412.0,644,21478
645,645.0,21445.0,645,21510
646,646.0,21478.0,646,21542
647,647.0,21512.0,647,21573
648,648.0,21545.0,648,21605
649,649.0,21578.0,649,21637
650,650.0,21611.0,650,21669
651,651.0,21645.0,651,21701
652,652.0,21678.0,652,21733
653,653.0,21711.0,653,21782
654,654.0,21745.0,654,21813
655,655.0,21778.0,655,21846
656,656.0,21811.0,656,21877
657,657.0,21845.0,657,21910
658,658.0,21878.0,658,21942
659,659.0,21912.0,659,21974
660,660.0,21946.0,660,22006
661,661.0,21980.0,661,22037
662,662.0,22013.0,662,22069
663,663.0,22045.0,663,22103
664,664.0,22078.0,664,22134
665,665.0,22115.0,665,22182
666,666.0,22148.0,666,22213
667,667.0,22180.0,667,22246
668,668.0,22212.0,668,22277
669,669.0,22246.0,669,22309
670,670.0,22279.0,670,22341
671,671.0,22312.0,671,22374
672,672.0,22345.0,672,22405
673,673.0,22379.0,673,22437
674,674.0,22412.0,674,22469
675,675.0,22445.0,675,22502
676,676.0,22478.0,676,22550
677,677.0,22513.0,677,22582
678,678.0,22546.0,678,22614
679,679.0,22580.0,679,22646
680,680.0,22613.0,680,22677
681,681.0,22646.0,681,22710
682,682.0,22679.0,682,22742
683,683.0,22713.0,683,22773
684,684.0,22746.0,684,22806
685,685.0,22779.0,685,22837
686,686.0,22812.0,686,22869
687,687.0,22846.0,687,22901
688,688.0,22879.0,688,22949
689,689.0,22912.0,689,22981
690,690.0,22945.0,690,23013
691,691.0,22979.0,691,23045
692,692.0,23012.0,692,23077
693,693.0,23046.0,693,23110
694,694.0,23079.0,694,23141
695,695.0,23112.0,695,23174
696,696.0,23145.0,696,23206
697,697.0,23179.0,697,23237
698,698.0,23212.0,698,23269
699,699.0,23246.0,699,23317
700,700.0,23279.0,700,23349
701,701.0,23312.0,701,23381
702,702.0,23346.0,702,23413
703,703.0,23379.0,703,23445
704,704.0,23413.0,704,23477
705,705.0,23446.0,705,23510
706,706.0,23479.0,706,23541
707,707.0,23513.0,707,23573
708,708.0,23546.0,708,23605
709,709.0,23579.0,709,23637
710,710.0,23613.0,710,23685
711,711.0,23646.0,711,23717
712,712.0,23679.0,712,23749
713,713.0,23713.0,713,23782
714,714.0,23746.0,714,23814
715,715.0,23780.0,715,23846
716,716.0,23814.0,716,23878
717,717.0,23848.0,717,23909
718,718.0,23881.0,718,23941
719,719.0,23913.0,719,23973
720,720.0,23946.0,720,24005
721,721.0,23979.0,721,24037
722,722.0,24013.0,722,24085
723,723.0,24046.0,723,24117
724,724.0,24079.0,724,24149
725,725.0,24113.0,725,24181
726,726.0,24146.0,726,24213
727,727.0,24179.0,727,24245
728,728.0,24213.0,728,24277
729,729.0,24246.0,729,24309
730,730.0,24280.0,730,24342
731,731.0,24313.0,731,24373
732,732.0,24346.0,732,24405
733,733.0,24382.0,733,24453
734,734.0,24413.0,734,24486
735,735.0,24446.0,735,24518
736,736.0,24481.0,736,24550
737,737.0,24515.0,737,24582
738,738.0,24548.0,738,24613
739,739.0,24580.0,739,24645
740,740.0,24613.0,740,24677
741,741.0,24647.0,741,24709
742,742.0,24680.0,742,24742
743,743.0,24713.0,743,24773
744,744.0,24747.0,744,24805
745,745.0,24780.0,745,24853
746,746.0,24813.0,746,24885
747,747.0,24846.0,747,24917
748,748.0,24880.0,748,24949
749,749.0,24914.0,749,24981
750,750.0,24947.0,750,25013
751,751.0,24980.0,751,25046
752,752.0,25013.0,752,25077
753,753.0,25047.0,753,25109
754,754.0,25080.0,754,25142
755,755.0,25113.0,755,25173
756,756.0,25147.0,756,25221
757,757.0,25180.0,757,25253
758,758.0,25213.0,758,25285
759,759.0,25247.0,759,25317
760,760.0,25280.0,760,25350
761,761.0,25313.0,761,25381
762,762.0,25347.0,762,25414
763,763.0,25380.0,763,25445
764,764.0,25414.0,764,25477
765,765.0,25447.0,765,25509
766,766.0,25481.0,766,25542
767,767.0,25514.0,767,25589
768,768.0,25547.0,768,25621
769,769.0,25580.0,769,25653
770,770.0,25614.0,770,25686
771,771.0,25647.0,771,25717
772,772.0,25680.0,772,25750
773,773.0,25714.0,773,25781
774,774.0,25748.0,774,25814
775,775.0,25781.0,775,25845
776,776.0,25814.0,776,25877
777,777.0,25847.0,777,25909
778,778.0,25880.0,778,25942
779,779.0,25914.0,779,25989
780,780.0,25947.0,780,26021
781,781.0,25980.0,781,26053
782,782.0,26014.0,782,26085
783,783.0,26047.0,783,26118
784,784.0,26081.0,784,26151
785,785.0,26114.0,785,26182
786,786.0,26150.0,786,26214
787,787.0,26181.0,787,26247
788,788.0,26216.0,788,26279
789,789.0,26250.0,789,26310
790,790.0,26284.0,790,26357
791,791.0,26316.0,791,26389
792,792.0,26349.0,792,26421
793,793.0,26381.0,793,26453
